PositionX;PositionY;PositionZ;Mass;VelocityX;VelocityY;VelocityZ;Size;AccelerationX;AccelerationY;AccelerationZ;Force;ColorR;ColorG;ColorB;Movable
642.767;56.9614;-107.841;0.933424;20.1679;-5;17.998;0.665258;-1.61745;3.13817;3.66069;6.1009;1;1;1;1
563.896;161.644;6.01058;1.24586;-7.01057;-5;-32.1112;0.855831;48.5985;-16.0249;-8.24958;59.2466;1;1;1;1
619.963;162.551;49.3419;0.604511;-33.1656;-5;23.4184;1.99322;-11.4196;-7.9615;-23.1083;35.4621;1;1;1;1
705.164;77.4044;51.4302;0.566607;-9.90354;-5;30.2507;1.19047;-4.58778;2.87859;-1.99599;6.44379;1;1;1;1
614.384;130.66;5.86074;3.03874;-20.0453;-4.99999;59.1961;1.81094;-68.1256;91.0258;-26.4937;128.992;1;1;1;1
617.681;146.908;-147.16;1.37674;21.5744;-5;12.5921;1.44206;-1.79764;0.298072;6.07416;7.49974;1;1;1;1
611.756;100.749;-106.82;2.36087;24.1881;-5;12.6621;1.43391;-1.17716;3.92154;6.60073;10.2463;1;1;1;1
638.328;191.339;47.4343;0.883023;-23.9753;-5;29.3728;1.46509;-7.08738;-9.55503;-8.55971;21.8413;1;1;1;1
591.903;124.077;22.8513;3.2376;-41.8595;-5;-4.833;1.61432;13.7993;44.2925;-37.872;68.7012;1;1;1;1
594.033;143.342;-36.6599;2.12754;42.5112;-5;3.08064;1.89947;10.9998;11.8114;50.1271;69.291;1;1;1;1
602.656;150.385;-44.8072;4.19729;39.4207;-5;12.3367;1.21189;-6.20241;-0.648714;38.003;57.5602;1;1;1;1
557.171;140.175;-1.60589;3.71786;1.49498;-5;-29.8713;0.921659;38.9405;8.78348;1.32933;46.1212;1;1;1;1
592.574;177.678;43.5539;2.37007;-36.1208;-5;3.84147;1.6492;4.15071;-17.6698;-23.5567;37.4462;1;1;1;1
632.704;233.682;32.5463;0.812571;-19.0916;-5;29.1844;1.25176;-3.90013;-9.25998;-3.40639;12.514;1;1;1;1
582.7;143.686;142.775;3.4149;-21.8911;-5;7.34747;1.27149;0.984908;0.149516;-5.66985;7.5321;1;1;1;1
630.286;156.71;-104.456;2.18467;24.3432;-5;17.058;1.9312;-3.97469;-0.815944;7.98538;12.3665;1;1;1;1
656.171;122.278;93.6681;0.794992;-21.3753;-5;22.8183;0.941298;-4.66706;2.12941;-6.30242;10.0039;1;1;1;1
586.184;75.9485;-103.591;1.00717;23.1725;-5;6.90939;1.25634;0.407242;4.12037;5.1451;8.41823;1;1;1;1
644.226;145.267;-9.42956;4.58347;8.1821;-5;48.375;0.58652;-37.416;3.94793;7.58778;43.7398;1;1;1;1
527.046;67.6213;74.8144;1.93898;-16.4211;-5;-6.01289;1.5848;2.77645;3.728;-3.20963;7.11759;1;1;1;1
590.203;285.282;10.6066;2.2028;-16.6628;-5;-5.39046;1.42965;0.171669;-5.79997;-0.5754;6.50509;1;1;1;1
624.826;196.727;-40.7011;3.92138;27.645;-5;26.8626;0.70838;-7.60183;-13.6616;10.985;23.351;1;1;1;1
659.474;144.016;70.7639;0.981216;-21.0442;-5;27.6869;1.68519;-7.85908;0.721949;-7.91188;13.7559;1;1;1;1
582.293;153.328;-33.223;3.1699;37.9794;-5;-10.2416;0.806299;27.5389;-5.73743;44.6544;65.1651;1;1;1;1
573.194;161.279;-55.1453;0.70188;30.1363;-5;-4.64943;1.06709;10.7259;-4.87674;17.9489;28.2945;1;1;1;1
615.554;244.249;-25.3439;4.95042;22.6827;-5;23.921;1.32615;-1.82564;-9.47981;2.28693;11.654;1;1;1;1
586.742;210.45;-82.2033;3.50595;25.7499;-5;5.84685;1.43208;0.992281;-6.17428;7.02867;11.9384;1;1;1;1
514.306;228.782;-19.4519;2.18274;5.39109;-5;-13.75;0.69396;4.79687;-4.95076;1.0551;8.71845;1;1;1;1
595.525;146.119;-105.88;3.63477;25.6694;-5;8.91503;1.23281;1.48625;1.6048;8.7855;17.4044;1;1;1;1
519.548;128.481;26.6028;4.54419;-8.88353;-5;-16.8656;0.701376;10.5083;2.74898;-3.38931;14.5835;1;1;1;1
609.753;125.53;-8.08192;4.13137;32.1597;-4.99999;48.8102;1.11397;-33.8251;84.5211;27.2117;106.404;1;1;1;1
498.638;250.858;44.6666;4.83795;-8.71677;-5;-9.78106;0.950819;2.79424;-3.37487;-1.44844;5.31545;1;1;1;1
533.636;89.6886;29.4053;0.822047;-11.033;-5;-14.9;1.87786;7.03771;6.66199;-3.23705;13.0658;1;1;1;1
623.938;154.742;20.4933;4.28216;-30.4805;-5;45.6034;1.05007;-56.0789;-11.2173;-44.9284;83.3285;1;1;1;1
680.829;150.713;24.4271;1.74177;-8.32901;-5;37.5607;0.625889;-12.4117;-0.131226;-3.48598;15.2487;1;1;1;1
610.118;127.233;110.65;1.36259;-24.7397;-5;12.2623;1.01367;-1.52333;2.60289;-7.87534;11.8742;1;1;1;1
638.223;125.424;15.5161;4.69265;-14.3609;-5;45.3773;0.576083;-27.8213;17.5137;-10.5009;39.5827;1;1;1;1
632.917;218.372;-110.65;1.7989;21.8931;-5;16.5129;1.7468;-1.98676;-3.48945;4.87065;7.40505;1;1;1;1
599.651;67.1335;-10.0838;4.42018;28.9402;-5;8.99803;0.804697;-0.312167;12.7108;1.54984;15.609;1;1;1;1
567.76;66.5638;-8.4465;2.79868;7.07409;-5;-17.0012;0.739647;3.69573;10.5478;0.86035;14.2682;1;1;1;1
578.471;132.359;-60.3231;4.49956;30.5717;-5;-0.910679;1.90263;6.82471;6.38341;16.5681;25.8804;1;1;1;1
720.401;208.65;49.1834;4.94836;-8.37637;-5;30.5054;1.37793;-4.82291;-1.99835;-1.67111;6.23357;1;1;1;1
618.663;141.693;66.6761;1.01747;-30.51;-5;18.5401;1.2074;-5.74742;2.4298;-16.3436;24.4746;1;1;1;1
605.302;127.008;-70.4265;3.10549;30.6128;-5;12.3048;1.25959;-1.80775;6.65909;14.3065;22.5183;1;1;1;1
621.237;61.6345;70.2261;4.07575;-23.6307;-5;17.146;0.810373;-1.75266;5.96024;-4.43545;9.09195;1;1;1;1
608.521;175.745;40.5273;2.347;-37.0772;-5;17.796;1.29781;-6.67285;-19.4083;-26.3761;41.8064;1;1;1;1
608.484;151.053;53.0344;0.584048;-35.645;-5;15.7021;0.880001;-7.91428;-0.26687;-27.2519;40.8903;1;1;1;1
687.607;238.927;6.36035;3.18088;-1.71359;-5;33.6028;1.35774;-4.78083;-4.725;-0.328608;7.54104;1;1;1;1
595.513;86.6834;-96.1514;4.33435;24.6221;-5;8.85094;1.92882;-0.163027;4.78148;6.10168;10.0823;1;1;1;1
590.289;141.691;116.882;0.68952;-24.316;-5;7.97973;1.92222;1.2852;1.31504;-7.37756;12.7354;1;1;1;1
590.001;122.763;32.4409;1.98801;-38.325;-5;-1.81302;1.41519;8.73688;26.4928;-29.1566;49.7127;1;1;1;1
569.4;146.428;-4.56694;1.31603;6.99807;-5;-36.8894;1.98746;73.8213;8.3167;10.8272;86.8806;1;1;1;1
575.211;155.646;-12.3032;0.963088;22.1324;-5;-34.593;0.953978;80.253;-18.7254;38.5755;102.045;1;1;1;1
565.081;136.028;-112.51;2.97365;23.1997;-5;2.79958;1.74305;2.9542;1.18661;6.8311;11.001;1;1;1;1
661.906;148.611;-76.7035;1.30065;20.7364;-5;26.736;1.84431;-7.15568;0.32455;7.12838;12.7517;1;1;1;1
530.394;131.725;-50.241;0.852672;16.5285;-5;-12.8992;0.781899;9.24464;2.54378;6.29517;14.7282;1;1;1;1
646.475;174.647;-44.3761;2.52045;22.0243;-5;33.0658;0.554659;-12.9571;-6.57876;10.8654;22.1178;1;1;1;1
607.701;164.373;21.9644;2.0277;-47.7367;-5;26.736;0.799982;-29.1045;-53.0249;-75.373;111.457;1;1;1;1
635.294;132.455;44.8159;2.7774;-26.9056;-5;31.1889;1.16158;-14.9872;7.21713;-16.5463;28.6342;1;1;1;1
634.806;79.341;21.0028;2.55327;-15.1396;-5;35.0897;1.16923;-6.21475;11.7689;-3.28188;16.0883;1;1;1;1
594.005;158.119;-91.2457;4.38241;27.5542;-5;8.18972;1.96406;1.55545;-2.27031;11.0674;19.5448;1;1;1;1
576.3;237.531;-68.2032;2.98065;23.4616;-5;1.8473;0.591693;1.30408;-6.44021;4.35072;9.56972;1;1;1;1
682.051;144.043;-65.198;1.51022;16.0652;-5;30.218;1.02709;-7.40559;0.542148;5.00152;10.8044;1;1;1;1
619.133;145.215;-16.38;0.95526;33.9817;-5;49.6939;1.4514;-83.2646;20.4299;67.5927;121.852;1;1;1;1
624.968;175.442;-104.66;4.74607;24.475;-5;15.8388;1.17989;-2.902;-2.8348;7.68819;11.8853;1;1;1;1
628.185;162.216;81.4193;0.564547;-26.8015;-5;19.2778;0.662328;-5.12158;-2.29049;-10.7033;16.8578;1;1;1;1
540.209;74.3463;-4.28338;2.58266;1.92431;-5;-16.8609;1.94488;5.75643;7.95912;0.309981;12.1498;1;1;1;1
698.16;90.2153;75.322;1.72048;-13.7399;-5;27.9059;1.95674;-4.37222;2.46105;-2.97121;6.45823;1;1;1;1
604.829;135.849;73.8751;2.64158;-30.4099;-5;11.9878;1.44563;-2.37785;3.93754;-14.6771;23.3473;1;1;1;1
