PositionX;PositionY;PositionZ;Mass;VelocityX;VelocityY;VelocityZ;Size;AccelerationX;AccelerationY;AccelerationZ;Force;ColorR;ColorG;ColorB;Movable
82.6854;76.87;170.48;2.93252;-19.8978;-3.4411e-10;9.65074;1.61757;-2.78446;-2.68836;-4.24685;8.12935;1;1;1;1
182.172;0.628761;-63.102;8.83528;7.45438;-2.5102e-12;21.5204;1.01578;-5.50408;-0.0196109;1.7974;7.73788;1;1;1;1
106.97;-66.167;164.234;14.0185;-18.4233;2.60314e-10;11.9995;0.526505;-3.48425;2.0337;-3.94862;7.88931;1;1;1;1
-140.734;31.404;192.874;5.71641;-16.4615;-8.44124e-11;-12.0114;1.61139;3.1497;-0.659472;-3.15426;5.98059;1;1;1;1
7.13637;38.7841;32.7322;5.86952;-43.1589;-4.71335e-09;9.40961;1.05469;-6.16077;-36.823;-27.2672;61.1679;1;1;1;1
225.815;91.1098;-24.7378;8.94237;2.20117;-2.11366e-10;20.0929;1.23418;-3.90891;-1.6513;0.433282;5.18405;1;1;1;1
84.079;41.6371;191.396;5.54515;-19.8306;-1.93602e-10;8.71146;1.10903;-3.0254;-1.51252;-3.96263;8.73744;1;1;1;1
-88.4987;84.6789;42.7951;14.269;-12.086;-8.6533e-10;-24.9933;1.16936;7.17707;-6.76039;-3.00751;14.6846;1;1;1;1
-43.8212;77.8413;-118.867;9.76987;24.3325;-7.28275e-10;-8.97038;1.40869;3.46052;-5.68965;6.22906;13.2901;1;1;1;1
-94.2518;169.623;-140.316;0.698248;16.9635;-4.11223e-10;-11.3945;1.75513;1.77545;-3.21268;2.09514;5.63252;1;1;1;1
2.24936;-42.1537;-129.364;4.53223;27.1045;7.06016e-10;0.471287;1.79643;-0.618558;5.51575;8.73387;18.2132;1;1;1;1
-0.840951;162.38;45.8098;10.1748;-24.3413;-8.29435e-10;-0.446843;1.35971;0.201395;-6.47996;-1.62475;9.95691;1;1;1;1
-139.345;-130.245;-222.236;6.54746;15.6555;2.1762e-10;-9.81623;1.57147;1.75529;1.70015;2.36133;3.88386;1;1;1;1
-93.0393;-34.6653;-19.206;8.08078;6.3573;6.52366e-10;-30.7966;0.592105;13.9459;5.09661;2.4701;20.4827;1;1;1;1
42.2156;15.4529;-267.295;5.12564;18.9726;-5.86612e-11;2.99646;1.23029;-1.63968;-0.458291;4.13134;6.96277;1;1;1;1
16.7037;33.0425;-1.03684;8.51091;3.2191;-9.29088e-09;51.8603;1.96059;-36.6579;-72.585;1.44882;98.897;1;1;1;1
-17.2031;79.5279;-241.094;9.18;19.7739;-2.73283e-10;-1.41096;0.849559;0.463285;-2.13502;4.00094;6.58008;1;1;1;1
-83.0628;275.722;-20.0763;13.2936;4.37274;-3.91036e-10;-18.0916;1.6514;0.998724;-3.05497;0.185663;3.79133;1;1;1;1
-12.162;-0.840907;71.3133;4.56055;-36.649;1.62871e-10;-6.25022;0.964553;10.5392;1.27243;-24.6577;47.3515;1;1;1;1
95.8524;-197.733;191.468;4.77694;-16.5635;3.12313e-10;8.29199;1.24352;-1.23074;2.43995;-2.01206;3.86514;1;1;1;1
84.1282;-79.5135;-273.077;4.29814;17.5479;1.67182e-10;5.40608;0.878399;-1.36078;1.30611;3.16868;4.38127;1;1;1;1
1.42608;9.52587;-26.7984;13.799;59.1753;-6.60023e-09;3.14903;0.926878;-9.75813;-51.5643;117.616;175.75;1;1;1;1
-155.519;81.2186;-192.538;0.629215;15.2421;-1.90078e-10;-12.3115;0.566561;2.81922;-1.48498;2.43941;5.24574;1;1;1;1
-90.6613;-36.1759;222.219;13.3078;-18.7941;1.56001e-10;-7.66762;1.10779;2.60667;1.21876;-4.16272;7.27147;1;1;1;1
-9.01347;-2.61015;19.964;5.51772;-61.3647;3.13001e-09;-27.7053;0.906186;93.1407;24.4532;-179.654;252.606;1;1;1;1
25.2907;30.1978;-40.477;9.14504;35.685;-2.97985e-09;22.2966;1.58589;-19.1177;-23.2801;25.9441;53.8831;1;1;1;1
-166.099;-28.9199;-151.869;11.2651;14.1657;8.65709e-11;-15.4929;0.549165;3.79278;0.676335;2.8057;6.24236;1;1;1;1
3.60708;11.2585;161.323;10.3297;-24.8577;-3.43883e-10;0.555801;0.721793;-0.760083;-2.68658;-7.02951;18.8634;1;1;1;1
-6.32714;-36.885;156.515;1.32884;-24.9075;5.63738e-10;-1.00689;0.557588;-0.736897;4.4042;-6.43152;17.0353;1;1;1;1
-43.771;-31.9585;-155.885;14.0973;23.699;3.69464e-10;-6.65445;0.615314;3.07234;2.88644;6.982;14.0583;1;1;1;1
132.831;-94.1218;70.7668;0.698691;-11.1599;4.67354e-10;20.9474;0.618107;-5.2747;3.6512;-2.22028;8.88535;1;1;1;1
-130.298;-49.5172;-26.0494;12.3033;5.20604;4.12897e-10;-26.0404;1.21784;8.38114;3.22575;1.30919;12.3705;1;1;1;1
-279.782;53.3125;55.0083;4.63312;-3.58191;-8.00068e-11;-18.2182;0.936308;3.06794;-0.625053;-0.575343;3.61392;1;1;1;1
-17.5327;-154.586;111.884;13.3534;-22.5684;6.53013e-10;-3.53656;1.45204;0.540741;5.10166;-3.01944;8.30211;1;1;1;1
-149.906;46.9207;-176.071;9.89201;15.675;-1.45172e-10;-13.3456;0.969543;3.3735;-1.13416;3.06329;6.21309;1;1;1;1
-109.45;-50.8195;-20.9747;5.44382;5.37788;6.21227e-10;-28.0628;1.23789;10.2272;4.85333;1.77928;15.4486;1;1;1;1
129.569;-45.4369;109.697;12.2449;-15.4133;2.25762e-10;18.2055;1.67566;-5.38989;1.76377;-3.77409;9.56785;1;1;1;1
53.4558;34.0808;14.9912;12.3409;-10.5795;-2.06048e-09;37.7244;1.26811;-25.5973;-16.0975;-6.07415;40.3735;1;1;1;1
22.1363;-60.3655;22.804;13.1923;-27.4717;3.32583e-09;26.6673;1.62128;-9.09779;25.9831;-8.24284;37.7619;1;1;1;1
38.6499;79.2279;84.9002;0.556642;-26.0155;-1.04281e-09;11.8433;1.37669;-4.01311;-8.14691;-6.98655;16.624;1;1;1;1
10.3543;22.7788;249.15;8.94414;-19.9666;-2.56831e-10;0.829779;1.29699;-0.859755;-2.00649;-4.62141;9.53394;1;1;1;1
160.9;132.461;-165.591;12.3781;13.9009;-2.55104e-10;13.5071;1.3332;-2.42543;-1.993;2.14612;4.58753;1;1;1;1
206.175;-32.4429;19.183;1.92535;-2.02359;1.05308e-10;21.7491;1.51288;-5.19522;0.822722;-0.411855;6.6862;1;1;1;1
-13.4286;-43.3694;138.949;1.58461;-26.0339;5.81627e-10;-2.51603;1.81895;1.50211;4.54396;-7.66065;16.0646;1;1;1;1
-11.3623;-47.5208;-229.931;12.9038;20.6004;2.86706e-10;-1.01799;1.48495;0.59059;2.23989;4.57229;8.46695;1;1;1;1
240.685;129.54;-48.3192;6.70057;3.73599;-2.17434e-10;18.6095;1.12629;-3.01723;-1.6987;0.569381;4.04102;1;1;1;1
-184.624;-158.273;-77.4758;5.36593;7.65944;3.10086e-10;-18.2523;1.35879;2.80409;2.42254;1.02415;4.6976;1;1;1;1
165.883;-102.476;84.7356;2.49797;-9.86589;3.25158e-10;19.314;0.718177;-4.15884;2.5403;-1.69786;6.60672;1;1;1;1
38.3513;77.0352;-47.9891;7.07051;24.8868;-1.67272e-09;19.8887;1.63927;-6.45809;-13.0682;6.87121;22.0744;1;1;1;1
10.3022;9.51152;16.1231;14.1327;-57.6476;-1.30155e-08;36.835;0.617786;-108.821;-101.684;-161.095;260.552;1;1;1;1
